Child Level,Event Name,CPU Start (ns),GPU Start (ns),GPU Duration (ns),Process Name,Thread ID,CPU Core,GPU Engine,
0,"GPU Work",0,1528775100,31000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528814300,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528856100,32800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528906100,31700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528943100,31300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1528995100,29400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529034300,28100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529075200,28900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529114800,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529154500,30900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529192600,30000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529232900,30700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529273400,35300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529312100,31500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529350800,30300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529391200,40200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529434800,32000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529470200,32800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529508600,32000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529548100,30200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529586900,30000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529626100,28400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529667200,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529708500,33300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529747900,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529787400,32300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529827300,32700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529866200,32900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529906600,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529945000,32700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1529984000,37700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530025100,32600,final_project2.exe,,,Cuda,
